Run,Max Qualities,Avg Qualities,SoS Qualities,botkm,logchanTM_E,logchanTM_N,logchanTM_S,logchanTM_W,logFTM_CF006,logFTM_CF007,logFTM_SSF016,logFTM_SSF017,logFTM_SSF018,logFTM_SSF019,logFTM_SSF020,logFTM_SSF021,logFTM_SSF023,logFTM_SSF024,oilvismult,permmult,permmult_asph,PX1,PX2,PY1,PY2,topk,wpimult_2s,X1,X2,Y1,Y2
Scope1,66.70945739746094,23.947494506835938,5409.431607611594,0.5,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,1.0,0.8,0.1,27.0,57.0,15.0,41.0,20.0,0.9,27.0,57.0,15.0,41.0
Scope2,79.99943542480469,20.138621012369793,5171.891961476533,0.103038003368281,-0.3550150873565876,-3.3293821597871114,-4.108098014971332,-4.12221893954592,-0.8014199697075775,0.0,-0.8583804920649003,-1.9891949166247018,-5.4617358534925255,-0.9325631873573048,-0.5895303306640862,-0.09238054945020568,0.0,-4.249924609345458,1.0,0.8559824560890525,0.01639380302307124,28.0,57.0,7.0,38.0,69.0,0.7955772823952314,37.0,45.0,26.0,43.0
Scope3,200.4135799407959,70.04796494377985,45535.09929849212,0.718971690993316,-2.0767862577483838,-4.241581705577904,-0.07708798751567958,-1.7909967873309114,-2.1201055633001884,0.0,-5.676756334799646,-1.9297417887547734,-5.586789700280004,-5.599548600866952,-0.0421235235598143,-5.09034888194235,0.0,-3.157714978699739,1.0,0.30093108903329563,0.2462828779945927,23.0,67.0,14.0,31.0,65.0,0.8186201329559522,32.0,38.0,29.0,46.0
Scope4,261.5685122013092,141.05259709888034,105024.0289958081,0.332115771868285,-5.13414291793521,-0.011769888840648335,-5.402089765065972,-5.704932314885298,-4.8197391306296336,0.0,-3.127977705793307,-2.236609056860832,-2.994128760858155,-4.33274894514861,-3.556182930340536,-3.223275624867838,0.0,-1.182911085473724,1.0,0.37490667516297027,0.05124919615578326,23.0,56.0,5.0,36.0,54.0,0.7584114079616434,36.0,42.0,20.0,37.0
Scope5,59.443267822265625,35.70573933919271,6378.242797804298,0.7933357103480561,-4.18326987706128,-5.615520473073294,-2.9269213659874267,-5.43379796904744,-4.942138720020852,0.0,-1.353573535895742,-0.7644507373789677,-4.978397415184104,-5.111839360236792,-5.157447173094612,-0.03547891910179235,0.0,-0.6686136866667418,1.0,0.18418468874792204,0.05906198915309939,30.0,70.0,4.0,40.0,35.0,0.6787980834220073,33.0,66.0,4.0,38.0
Scope6,37.492095947265625,9.853878445095486,990.8228412945755,0.4640659757903132,-4.213144403024118,-0.7759204149319441,-0.5906165647945016,-5.290847522978736,-5.0495722949158015,0.0,-5.523318953749338,-1.4250965284323476,-0.8543633007834597,-0.31056415016701155,-4.061908440617136,-4.307679289574105,0.0,-2.787818036034273,1.0,0.1706443208851527,0.09954092046755188,24.0,45.0,15.0,33.0,28.0,0.5401830300574817,28.0,50.0,24.0,41.0
Scope7,19.378494262695312,11.162628173828125,691.8620417262428,0.807735819918814,-0.9809550992349774,-3.1747962756542543,-0.4977208540648981,-5.030076711293298,-4.762842630872334,0.0,-3.3208268527435103,-5.89168673946309,-2.4792755107230757,-3.4001872716329418,-1.8073172445646444,-4.32233967261078,0.0,-4.7300230313196785,1.0,0.13016066952785169,0.7938847893943183,34.0,55.0,16.0,44.0,10.0,0.5481512473988023,26.0,44.0,25.0,44.0
Scope8,163.9004783630371,95.61509746975369,46377.93876668372,0.399812465699155,-4.812175115447592,-2.330562139893168,-2.8535533568121254,-4.305222441471708,-3.4425309751151234,0.0,-2.340934045918818,-5.025399140143542,-3.549976384280037,-4.63486917477399,-1.74036434842641,-0.8089446407650804,0.0,-0.5664116558091781,1.0,0.2513958071523627,0.4573825524246292,26.0,60.0,20.0,49.0,73.0,0.9858330154007457,26.0,43.0,16.0,47.0
Scope9,261.5685122013092,63.42056110170152,60646.74440468976,0.0012171347306960123,-2.6520318965713106,-1.9436986780374603,-1.7098778781375357,-1.8393594959440556,-3.489168744326359,0.0,-4.8147832214960165,-3.167080566066493,-4.156825351547376,-3.70869635706042,-1.218282161076246,-2.7609984049405125,0.0,-4.617769760851775,1.0,0.550299787804187,0.37793720901604444,36.0,48.0,18.0,45.0,61.0,0.645009668736954,29.0,64.0,5.0,39.0
Scope10,205.12555027008057,94.03195201026068,54641.15631096839,0.35586954132208204,-4.663129220700564,-4.995003604623665,-2.065636695793932,-3.136525112711178,-2.5949191683165695,0.0,-2.8484723540959527,-5.876188267922766,-5.723830069363272,-4.762767595931808,-2.261915157050442,-0.7787481425282579,0.0,-3.2270723301337667,1.0,0.28260832963484955,0.022959724102903197,28.0,57.0,18.0,30.0,69.0,0.5692251571057909,24.0,54.0,18.0,35.0
Scope11,172.04865264892578,61.7265633477105,32764.665294338745,0.980698109552079,-2.2071819027079798,-5.8256921988176105,-4.658532746102382,-0.35280866262135024,-5.411777169124608,0.0,-1.6153232579462342,-0.4131233359616395,-2.6326087908220073,-4.47526909530069,-1.9803922371150904,-0.6289258393730464,0.0,-5.773772885306916,1.0,0.26328595939386096,0.2795747938513059,37.0,65.0,16.0,30.0,61.0,0.9065506224128252,34.0,64.0,26.0,44.0
Scope12,70.009521484375,27.93018086751302,6231.690823950921,0.4073064558486787,-0.9496268003951709,-1.1421324078886617,-3.424152760287694,-3.71380807644969,-1.9289280156225477,0.0,-0.7948874610701102,-1.4865841305743643,-2.014236652539396,-0.020700767064876224,-2.9437431642083864,-5.414731067559696,0.0,-2.5224998596729638,1.0,0.9107974485429817,0.8990044171070954,25.0,67.0,3.0,43.0,28.0,0.9484403464623243,24.0,54.0,10.0,42.0
Scope13,71.17103576660156,49.85286966959635,11967.36567812122,0.14356020628486799,-0.12405719886158906,-0.9658034465990752,-5.855341519403976,-1.9155027113446437,-3.604666302015678,0.0,-2.4760268218008754,-4.386537977633976,-4.997568756000672,-0.27980925894349795,-2.6989462236177206,-3.833721842196336,0.0,-1.5379916863335001,1.0,0.3271919870425357,0.011321904492253412,31.0,62.0,15.0,39.0,38.0,0.371639476539337,32.0,41.0,18.0,35.0
Scope14,61.86500549316406,40.1641591389974,8467.453744490515,0.916101349175228,-5.18654737216929,-5.46728701112226,-3.0888795250670382,-3.5224164320441465,-0.4651651330139348,0.0,-3.583068526596355,-0.1594275055781278,-4.873243887711954,-1.8838948344742263,-5.287981416154686,-5.239745975990586,0.0,-0.9001545637967396,1.0,0.8292789809357108,0.8135538794848883,22.0,59.0,28.0,34.0,74.0,0.7755216869377792,22.0,65.0,20.0,34.0
Scope15,58.70269775390625,19.177753024631077,3366.937608301756,0.655857308192253,-1.2170371600016336,-1.6174841849265427,-3.577527449239443,-1.285430735798922,-2.504328122171631,0.0,-3.7359194675253837,-0.6642100240419841,-3.667108725532566,-1.3662833161947603,-0.1585078277088776,-4.491613346244108,0.0,-0.30303757761880235,1.0,0.9158725941642321,0.046212189688092424,28.0,60.0,16.0,35.0,40.0,0.35996174640768264,35.0,45.0,15.0,34.0
Scope16,60.912994384765625,20.287731594509548,3639.458266918664,0.5990796839093263,-1.7795960860131297,-3.4455735635197025,-3.304624155429617,-1.445781600718056,-0.4119958834711319,0.0,-4.431487282623852,-3.3563266384685275,-4.811892386855003,-1.0101889181740802,-3.709226737781232,-4.644634671226147,0.0,-3.2945361775028346,1.0,0.9717744443174011,0.3111487122607,24.0,48.0,3.0,48.0,39.0,0.349536730051655,36.0,58.0,9.0,43.0
Scope17,261.5685122013092,63.225170612335205,59026.90822878841,0.30652274551958103,-2.3127897740016423,-5.67331209205764,-0.2537229935346117,-0.2692359519798959,-0.7080510411073018,0.0,-1.1822986427038256,-2.7929076493123524,-2.444073064519837,-2.042994135302208,-1.0669586851278776,-5.553567460133238,0.0,-4.083746214229428,1.0,0.3620630884795656,0.6104625969226014,27.0,58.0,25.0,38.0,50.0,0.6948981981440041,28.0,52.0,8.0,38.0
